Objects
100
,,Global Angle rccar_car_01:rccar_car_01,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
88,0,-0.018847,0.0238766,-1.70367,-603.587,3512.64,194.905
89,0,-0.0207451,0.0362864,-1.69452,-604.801,3507.91,194.653
90,0,-0.0261817,0.0330453,-1.68925,-605.549,3500.19,193.111
91,0,-0.0179294,0.0244997,-1.70075,-605.479,3485.03,196.846
92
93
94,0,-0.019419,0.0224125,-1.69225,-607.948,3463.65,194.595
95,0,-0.0165213,0.0141373,-1.69825,-608.946,3450.78,196.598
96,0,-0.0245529,0.0270261,-1.68746,-611.088,3449.04,193.917
97,0,-0.0219812,0.022487,-1.68811,-611.375,3438.85,194.443
98,0,-0.0201988,0.02127,-1.69075,-611.317,3426.21,195.854
99,0,-0.0274448,0.028019,-1.68253,-613.476,3422.87,193.587
100,0,-0.0195099,0.0165196,-1.69221,-614.366,3409.32,195.162
101,0,-0.0149212,0.0178609,-1.68992,-614.697,3401.24,194.532
102,0,-0.0221775,0.0227885,-1.68481,-616.327,3390.73,194.832
103,0,-0.0242333,0.0243246,-1.68955,-617.049,3376.84,196.626
104,0,-0.0213753,0.0199399,-1.68582,-616.904,3368.2,195.846
105,0,-0.028793,0.031946,-1.67944,-618.568,3360.15,195.579
106,0,-0.0205451,0.0180697,-1.69296,-619.203,3344.7,197.205
107,0,-0.0254908,0.0223914,-1.68173,-620.774,3341.24,194.322
108,0,-0.0299141,0.0302021,-1.67906,-621.727,3330.72,194.137
109,0,-0.0267701,0.0221209,-1.68808,-622.983,3315.86,195.472
110,0,-0.0249179,0.0349943,-1.67392,-624.169,3312.04,193.983
111
112
113
114
115
116
117
118
119
120
121
122
123
124,0,-0.868483,0.956694,-1.40571,-726.485,3141.84,260.516
125,0,-0.866138,0.950876,-1.40358,-728.321,3129.74,259.669
126,0,-0.875348,0.959771,-1.39209,-728.667,3116.94,260.09
127,0,-0.860413,0.950839,-1.40249,-730.073,3103.65,259.833
128,0,-0.877951,0.965843,-1.38399,-730.306,3090.24,260.401
129,0,-0.87624,0.962979,-1.38436,-731.565,3077.59,259.66
130,0,-0.00547446,0.0199662,-1.66014,-642.1,3057.93,195.869
131,0,-0.00634597,0.0217888,-1.65968,-643.521,3045.54,194.935
132,0,-0.00699342,0.0179637,-1.66074,-644.535,3033.81,193.993
133,0,-0.0125459,0.0180204,-1.64875,-645.74,3016.98,194.831
134,0,-0.00982103,0.0178913,-1.65224,-646.981,3004.56,194.224
135,0,-0.0145964,0.0226063,-1.64745,-647.291,2991.44,193.906
136,0,-0.00599909,0.0234601,-1.65447,-647.466,2980.09,193.213
137,0,-0.00940666,0.0255422,-1.65061,-648.352,2967.93,193.162
138,0,-0.00544742,0.0281501,-1.65145,-649.374,2953.08,193.5
139,0,-0.00696218,0.026751,-1.65022,-650.019,2939.63,193.25
140,0,-0.00651613,0.029606,-1.65012,-652.295,2927.83,192.256
141,0,-0.00534944,0.026189,-1.64749,-652.577,2913.99,192.244
142,0,-0.00264207,0.0278841,-1.64719,-653.423,2899.82,192.171
143,0,0.000145028,0.0229318,-1.64589,-653.883,2886.23,191.567
144,0,-0.000322918,0.0250613,-1.6447,-655.094,2872.4,191.375
145,0,-0.00105603,0.0268428,-1.64394,-655.432,2858.41,190.874
146,0,-0.00839298,0.0247728,-1.6363,-655.41,2841.76,191.109
147,0,-0.00577519,0.0253405,-1.63641,-656.898,2828.61,190.376
148,0,-0.00724637,0.0292709,-1.63369,-657.29,2813.87,190.314
149,0,-0.00776051,0.0316701,-1.63333,-658.44,2799.72,189.601
150,0,0.00270168,0.0265231,-1.63621,-658.789,2784.41,189.685
151,0,0.0025192,0.0280821,-1.63576,-659.948,2769.01,189.218
152,0,-0.00118312,0.0310442,-1.63131,-660.226,2755.43,188.379
153,0,-0.00141583,0.0324922,-1.6307,-661.133,2740.42,187.891
154,0,0.00164756,0.0306434,-1.63105,-662.071,2725.61,187.185
155,0,0.00669332,0.028783,-1.63126,-661.772,2708.47,187.676
156,0,0.00353542,0.0293818,-1.62901,-663.207,2694.34,186.264
157,0,0.00247693,0.0313518,-1.62563,-662.897,2677.6,186.541
158,0,0.00365032,0.0319944,-1.62281,-663.423,2661.81,186.15
159,0,0.00780341,0.0300395,-1.62366,-665.028,2646.91,185.035
160,0,0.00800951,0.0345187,-1.6235,-666.137,2631.59,184.063
161,0,0.00712802,0.0332694,-1.61991,-665.649,2614.67,184.479
162,0,0.0108562,0.0315428,-1.62169,-666.669,2599.25,184.161
163,0,0.00720534,0.0320765,-1.61745,-667.152,2582.58,183.945
164,0,0.0121542,0.0279771,-1.61757,-666.924,2564.93,184.559
165,0,0.00794827,0.0276493,-1.61517,-668.075,2549.02,184.353
166,0,0.00602162,0.0284386,-1.61167,-668.009,2532.89,183.641
167,0,0.00575157,0.0268066,-1.61048,-668.687,2516.53,183.371
168,0,0.00297287,0.029482,-1.60828,-669.143,2499.88,183.041
169,0,0.00569241,0.028994,-1.61109,-669.456,2483.64,182.692
170,0,0.00122164,0.0285086,-1.60616,-669.659,2466.18,182.341
171,0,0.00321109,0.0271733,-1.60676,-670.29,2449.14,182.072
172,0,9.27795e-005,0.0278237,-1.60576,-671.023,2432.67,181.377
173,0,-0.000427207,0.0231524,-1.60281,-670.601,2414.74,181.62
174,0,-0.00198814,0.018098,-1.6028,-670.936,2397.58,180.709
175,0,-0.00378535,0.0208098,-1.60034,-671.096,2380.3,180.699
176,0,-0.00575535,0.0214481,-1.5987,-671.174,2362.86,180.298
177,0,-0.00815849,0.0218106,-1.59565,-670.907,2345.07,180.261
178,0,-0.00606428,0.0194213,-1.59501,-671.32,2327.7,179.615
179,0,-0.00255193,0.0177056,-1.59423,-671.336,2310.01,179.179
180,0,-0.00248344,0.0168701,-1.59141,-671.491,2292.24,179.007
181,0,-0.00326981,0.0165631,-1.58871,-671.408,2274.33,178.62
182,0,-0.00100819,0.017715,-1.58645,-671.386,2256.56,178.579
183,0,0.000568602,0.0166251,-1.58494,-671.467,2238.8,178.447
184,0,-0.00779353,0.0255696,-1.58175,-672.595,2221.56,178.115
185,0,-0.00226189,0.019637,-1.57994,-671.385,2202.94,178.067
186,0,-0.00115084,0.0194605,-1.57879,-671.104,2184.87,177.808
187,0,-2.35522e-006,0.0185186,-1.57746,-670.891,2166.7,177.772
188,0,-0.000648427,0.019209,-1.575,-670.743,2148.41,177.744
189,0,-0.0015749,0.0189935,-1.57301,-670.726,2130.33,177.463
190,0,-0.00215589,0.0178781,-1.57044,-670.424,2112,177.399
191,0,-0.00298268,0.0164626,-1.56882,-670.152,2093.65,177.318
192,0,-0.00308329,0.0156077,-1.56752,-669.737,2075.35,177.137
193,0,-0.00122398,0.0159946,-1.56833,-669.511,2057.58,176.479
194,0,-0.00434536,0.0187105,-1.56475,-669.117,2038.91,176.52
195,0,-0.00389108,0.020417,-1.56408,-669.037,2021.08,175.862
196,0,-0.00558952,0.0193703,-1.55808,-667.816,2001.54,176.434
197,0,-0.0057012,0.018026,-1.55555,-667.384,1983.05,176.126
198,0,-0.00613316,0.0159529,-1.55368,-667.148,1964.53,175.708
199,0,-0.00817518,0.0201026,-1.54546,-666.716,1947.23,175.415
200,0,-0.00897592,0.0194028,-1.54305,-666.087,1928.5,175.261
201,0,-0.00573397,0.0166999,-1.54652,-664.628,1908.02,176.067
202,0,-0.0056369,0.0174492,-1.54454,-663.999,1889.3,175.834
203,0,-0.00351556,0.0170853,-1.54358,-663.271,1870.62,175.585
204,0,-0.00390488,0.0152056,-1.54192,-662.479,1851.64,175.313
205,0,-0.00729368,0.0132319,-1.53484,-660.48,1831.62,176.208
206,0,-0.0109313,0.0163157,-1.53133,-659.989,1812.89,176.074
207,0,-0.0108207,0.0150461,-1.5299,-659.028,1794.12,176.086
208,0,-0.0120622,0.0156147,-1.52786,-658.203,1775.25,176
209,0,-0.012614,0.0121549,-1.52823,-656.341,1754.27,176.95
210,0,-0.0130164,0.012387,-1.52633,-655.35,1735.32,176.603
211,0,-0.0130686,0.0144275,-1.52427,-654.189,1716.37,176.219
212,0,-0.0128706,0.0137464,-1.52052,-653.352,1697.54,175.899
213,0,-0.0111709,0.0131844,-1.51999,-652.212,1678.54,175.436
214,0,-0.0108998,0.0133617,-1.51883,-650.955,1659.3,175.306
215,0,-0.00708676,0.00834066,-1.51989,-649.813,1639.99,175.123
216,0,-0.00656491,0.00770423,-1.51732,-648.677,1620.91,174.762
217,0,-0.00666948,0.00918578,-1.51509,-647.422,1601.78,174.506
